Date,Close
29-06-2010,23.889999
30-06-2010,23.83
01-07-2010,21.959999
02-07-2010,19.200001
06-07-2010,16.110001
07-07-2010,15.8
08-07-2010,17.459999
09-07-2010,17.4
12-07-2010,17.049999
13-07-2010,18.139999
14-07-2010,19.84
15-07-2010,19.889999
16-07-2010,20.639999
19-07-2010,21.91
20-07-2010,20.299999
21-07-2010,20.219999
22-07-2010,21
23-07-2010,21.290001
26-07-2010,20.950001
27-07-2010,20.549999
28-07-2010,20.719999
29-07-2010,20.35
30-07-2010,19.940001
02-08-2010,20.92
03-08-2010,21.950001
04-08-2010,21.26
05-08-2010,20.450001
06-08-2010,19.59
09-08-2010,19.6
10-08-2010,19.030001
11-08-2010,17.9
12-08-2010,17.6
13-08-2010,18.32
16-08-2010,18.780001
17-08-2010,19.15
18-08-2010,18.77
19-08-2010,18.790001
20-08-2010,19.1
23-08-2010,20.129999
24-08-2010,19.200001
25-08-2010,19.9
26-08-2010,19.75
27-08-2010,19.700001
30-08-2010,19.870001
31-08-2010,19.48
01-09-2010,20.450001
02-09-2010,21.059999
03-09-2010,21.049999
07-09-2010,20.540001
08-09-2010,20.9
09-09-2010,20.709999
10-09-2010,20.17
13-09-2010,20.719999
14-09-2010,21.120001
15-09-2010,21.98
16-09-2010,20.940001
17-09-2010,20.23
20-09-2010,21.059999
21-09-2010,20.77
22-09-2010,19.870001
23-09-2010,19.559999
24-09-2010,20.1
27-09-2010,20.530001
28-09-2010,21.4
29-09-2010,21.98
30-09-2010,20.41
01-10-2010,20.6
04-10-2010,20.99
05-10-2010,21.120001
06-10-2010,20.459999
07-10-2010,20.43
08-10-2010,20.43
11-10-2010,20.24
12-10-2010,20.24
13-10-2010,20.540001
14-10-2010,20.75
15-10-2010,20.540001
18-10-2010,20.23
19-10-2010,20.049999
20-10-2010,20.65
21-10-2010,20.75
22-10-2010,20.719999
25-10-2010,20.85
26-10-2010,21.360001
27-10-2010,21
28-10-2010,21.190001
29-10-2010,21.84
01-11-2010,21.41
02-11-2010,21.25
03-11-2010,21.77
04-11-2010,24.9
05-11-2010,24.440001
08-11-2010,24.98
09-11-2010,24.629999
10-11-2010,29.360001
11-11-2010,28.040001
12-11-2010,29.84
15-11-2010,30.799999
16-11-2010,29.67
17-11-2010,29.49
18-11-2010,29.889999
19-11-2010,30.99
22-11-2010,33.400002
23-11-2010,34.57
24-11-2010,35.470001
26-11-2010,35.32
29-11-2010,34.330002
30-11-2010,35.330002
01-12-2010,34.349998
02-12-2010,32.349998
03-12-2010,31.49
06-12-2010,30.309999
07-12-2010,31.559999
08-12-2010,32.369999
09-12-2010,32.049999
10-12-2010,31.52
13-12-2010,30.549999
14-12-2010,28.530001
15-12-2010,29.6
16-12-2010,30.809999
17-12-2010,31.360001
20-12-2010,31.700001
21-12-2010,32.259998
22-12-2010,32.630001
23-12-2010,30.09
27-12-2010,25.549999
28-12-2010,26.41
29-12-2010,27.73
30-12-2010,26.5
31-12-2010,26.629999
03-01-2011,26.620001
04-01-2011,26.67
05-01-2011,26.83
06-01-2011,27.879999
07-01-2011,28.24
10-01-2011,28.450001
11-01-2011,26.959999
12-01-2011,26.959999
13-01-2011,26.219999
14-01-2011,25.75
18-01-2011,25.639999
19-01-2011,24.030001
20-01-2011,22.620001
21-01-2011,23.040001
24-01-2011,24.49
25-01-2011,24.68
26-01-2011,24.75
27-01-2011,24.92
28-01-2011,24.01
31-01-2011,24.1
01-02-2011,23.91
02-02-2011,23.940001
03-02-2011,23.629999
04-02-2011,23.459999
07-02-2011,23.07
08-02-2011,24.49
09-02-2011,23.209999
10-02-2011,23.219999
11-02-2011,23.25
14-02-2011,23.08
15-02-2011,22.84
16-02-2011,24.73
17-02-2011,23.6
18-02-2011,23.18
22-02-2011,21.870001
23-02-2011,21.83
24-02-2011,22.530001
25-02-2011,23.610001
28-02-2011,23.889999
01-03-2011,23.940001
02-03-2011,24.02
03-03-2011,24.360001
04-03-2011,24.950001
07-03-2011,24.940001
08-03-2011,24.66
09-03-2011,24.719999
10-03-2011,24.01
11-03-2011,24.07
14-03-2011,23.25
15-03-2011,22.950001
16-03-2011,22.82
17-03-2011,22.809999
18-03-2011,22.959999
21-03-2011,22.73
22-03-2011,22.190001
23-03-2011,22.209999
24-03-2011,22.33
25-03-2011,22.75
28-03-2011,23.25
29-03-2011,23.92
30-03-2011,23.709999
31-03-2011,27.75
01-04-2011,26.66
04-04-2011,25.83
05-04-2011,26.700001
06-04-2011,26.49
07-04-2011,27.24
08-04-2011,26.49
11-04-2011,25.27
12-04-2011,24.65
13-04-2011,24.93
14-04-2011,25.139999
15-04-2011,25.58
18-04-2011,25.030001
19-04-2011,25.16
20-04-2011,25.75
21-04-2011,26.74
25-04-2011,26.389999
26-04-2011,26.93
27-04-2011,27.08
28-04-2011,27.66
29-04-2011,27.6
02-05-2011,27.450001
03-05-2011,26.870001
04-05-2011,26.690001
05-05-2011,26.440001
06-05-2011,27.120001
09-05-2011,27.91
10-05-2011,28.33
11-05-2011,27.07
12-05-2011,27.67
13-05-2011,27.549999
16-05-2011,26.6
17-05-2011,25.959999
18-05-2011,26.35
19-05-2011,28.200001
20-05-2011,27.969999
23-05-2011,26.82
24-05-2011,26.719999
25-05-2011,28.98
26-05-2011,29.48
27-05-2011,29.549999
31-05-2011,30.139999
01-06-2011,28.52
02-06-2011,28.76
03-06-2011,30.129999
06-06-2011,28.700001
07-06-2011,28.370001
08-06-2011,27.120001
09-06-2011,27.620001
10-06-2011,27.860001
13-06-2011,28.43
14-06-2011,28.6
15-06-2011,27.32
16-06-2011,26.5
17-06-2011,26.5
20-06-2011,26.01
21-06-2011,27.530001
22-06-2011,27.209999
23-06-2011,27.709999
24-06-2011,27.57
27-06-2011,27.459999
28-06-2011,28.110001
29-06-2011,28.290001
30-06-2011,29.129999
01-07-2011,29.02
05-07-2011,29.139999
06-07-2011,28.959999
07-07-2011,29.73
08-07-2011,28.809999
11-07-2011,28.35
12-07-2011,28.17
13-07-2011,28.639999
14-07-2011,27.610001
15-07-2011,27.58
18-07-2011,27.23
19-07-2011,27.889999
20-07-2011,28.690001
21-07-2011,28.700001
22-07-2011,29.290001
25-07-2011,28.49
26-07-2011,28
27-07-2011,27.639999
28-07-2011,28.17
29-07-2011,28.17
01-08-2011,28.77
02-08-2011,27.34
03-08-2011,27.200001
04-08-2011,24.75
05-08-2011,24.24
08-08-2011,23.639999
09-08-2011,25.059999
10-08-2011,23.82
11-08-2011,25.299999
12-08-2011,26.309999
15-08-2011,26.23
16-08-2011,26.1
17-08-2011,25.83
18-08-2011,24.26
19-08-2011,22.299999
22-08-2011,21.950001
23-08-2011,22.959999
24-08-2011,23.870001
25-08-2011,23.110001
26-08-2011,23.73
29-08-2011,24.709999
30-08-2011,24.629999
31-08-2011,24.74
01-09-2011,24
02-09-2011,23.07
06-09-2011,22.940001
